id	subject	session	row	time	key	p_utts	p_form	p_lrb	p_obj	p_gloss	p_orient	p_mspd	p_g_type	p_gs_rel
10220500372	22	5	372	00:11:24		no, what do you put in a drink that you suck -- sip out of?	iconic-iconic	R-R		putting in. drinking	H=H.H=H	M forms a circular shape with palm by touching thumb to the rest of her fingers to represent a straw which she pantomimes placing in cup. M moves hand shaped as if is a straw to her mouth as if drinking	R.m;R.m	RF.p;RF.p
10220500410	22	5	410	00:12:37		they're like, really big in the sky.	iconic	R		big	H=O	M raises side facing palm high up in the air to represent height of big balloon in the sky	R.a	RF.a
10220500451	22	5	451	00:13:34		the trains go inside and pass through the tunnel.	iconic	R	tunnel in book	through tunnel	tracepath	M traces path that trains might take through the tunnel	R.d	RF.d
10220500572	22	5	572	00:16:39		and they have little curly tails on the end.	iconic	R		curly tail	traceshape	M traces several small  circles with index finger to represent a curly tail	R.a	RF.a
10220500618	22	5	618	00:17:43		but if you turn it up+side down, it's a p@l.	iconic	R		(turning) upside 	tracepath	M rotates her wrist to represent turning something upside down	R.d	RF.d
10220502216	22	5	2216	00:18:55		and what shape is that?	iconic	L	octagon shaped stop sign in puzzle	octagon's shape	traceshape	M traces the shape of octogon in book	R.a	ADD.a
10220502246	22	5	2246	00:19:40		if the -- the octagon has eight sides.	iconic	L	octagon shaped stop sign	octogan's hape	traceshape	M traces the shape of octogan in puzzle	R.a	ELAB.a
10220502248	22	5	2248	00:19:42			iconic	B		swimming	H=O	M wiggles both arms to represent octopus arms swimming in water	R.m	X
10220502249	22	5	2249			what?	iconic~	B		swimming	H=O	M wiggles both arms to represent octopus arms swimming in water	R	ADD.p
10220600104	22	6	104		R	"quick feet!"	iconic	L		moving quickly	H=O	M quickly withdraws her index finger from the book to mimic quick motion	R.m	ADD.p
10220600113	22	6	113	00:04:00	R	"small feet -- "	point. Iconic	L-L	small feet in book	small feet in book. Small	H=O	M pinches together index finger and thumb to show small	DP;R.a	RF;RF.a
10220600480	22	6	480	00:17:33	R	"the thing is little and very cute."	iconic	L		little	H=O	M pinches her thumb to her index finger to represent little	R.a	RF.a
10220600513	22	6	513	00:19:05			iconic	L		stream's shape	traceshape	With extended palm M holds thumb about three inches apart from index finger while moving hand to her right to represent the elongated shape of a stream of water	R.a	X
10220600514	22	6	514	00:19:08		you know what a stream is?	iconic~	L		stream's shape	traceshape	With extended palm M holds thumb about three inches apart from index finger while moving hand to her left to represent the elongated shape of a stream of water	R.a	ELAB.a
10220600516	22	6	516	00:19:11		it's a little thing of water.	iconic	L		stream's shape	traceshape	With extended palm M holds thumb about three inches apart from index finger while moving hand to her left to represent the elongated shape of a stream of water	R.a	ADD.a
10220600518	22	6	518	00:19:16		like a -- it's like a river.	iconic	L		stream's shape	traceshape	With extended palm M holds thumb about three inches apart from index finger while moving hand to her left to represent the elongated shape of a stream of water	R.a	ADD.a
10220600870	22	6	870	00:29:45		remember we want part -- piece that -- the shape like that to go in there.	iconic	R		puzzle's shape	traceshape	M traces shape of puzzle indentation with finger	R.a	ADD.a/ELAB.a
10220600872	22	6	872	00:29:50		is that shaped like that?	iconic	R		puzzle's shape	traceshape	M traces shape of puzzle indentation with finger	R.a	ADD.a
10220600875	22	6	875	00:29:53		turn it around.	point.iconic	R.R	puzzle	puzzle.(turning) around	tracepath	M points at puzzle with index finger and then rotates thumb and index finger around to represent action of turning piece around	DP;R.d	DA;RF.d
10220601198	22	6	1198	00:39:18		foop foop foop	iconic	R		flying (bat)	H=O	M mimics a flying bat by opening and closing her palm while moving palm around C's head	R.m	ADD.p
10220601291	22	6	1291	00:42:47		ok, but I want to brush them off.	iconic	R		brushing	H=H	M sweeps downward facing palm on her nightgown to mimic action of brushing	R.m	RF.p
10220601440	22	6	1440	00:48:01		that's called -- you know what that's called?	iconic	R	aerial picture in book	picture's circular shape	traceshape	M draws a circle above picture with her index finger	R.a	ADD.a
10220601441	22	6	1441			an aerial shot.	iconic	R	aerial picture in book	picture's circular shape	traceshape	M draws a circle above picture with her index finger	R.a	ELAB.a
10220601445	22	6	1445	00:48:07		it's an aerial picture.	iconic	R	aerial picture in book	picture's circular shape	traceshape	M draws a circle above picture with her index finger	R.a	ELAB.a
10220601448	22	6	1448	00:48:10		they take it from the air.	iconic	R	aerial picture in book	picture's circular shape	traceshape	M draws a circle above picture with her index finger	R.a	ADD.a
10220601449	22	6	1449	00:48:11		they look down on it.	iconic	R	aerial picture in book	looking (with a camera angle)	H=B	M has hand in claw like position and moves it down towards picture with a widening angle	R.m	ADD.p
10220601451	22	6	1451	00:48:18		and they're taking movies of the elephants from up in the air.	iconic.continuous point	R-R	 -elephants on page	filming/looking (with a camera angle)- elephants 	H=B	M has hand in claw like position and moves it down towards picture with a widening angle	R.m;DP	ADD.p;RF
10220601490	22	6	1490	00:49:36		do you know what those big white things are coming out from the elephant's trunk?	iconic	R		Tusk's shape	H=O	M holds thumb apart from index finger next to her nose and then extends hand out to trace the shape of elephant tusks 	R.a	ELAB.a
10220601514	22	6	1514	00:50:27			iconic	WB		elephant	B=O	M tips back her head to mimic elephant rearing head and trumpeting	R.a	ADD.a
10220601518	22	6	1518	00:50:35		he go	iconic	WB		elephant	B=O	M tips back her head to mimic elephant rearing head and trumpeting	R.a	ADD.a
10220602087	22	6	2087	00:14:25		a little bit.	nod+iconic	 +R		yes+little	H=O	M brings index and thumb very close to each other  to indicate little	C;R.a	RF;RF.a
10220700051	22	7	51	00:01:21			iconic	L		pressing	H=H	M pantomimes pressing with index finger	R.m	X
10220700366	22	7	366	00:10:59			iconic	L		fanning	H=H	M fans herself with hand to show she's hot.	R.m	X
10220800141	22	8	141	00:05:30		you want to pull it -- push it -- and see -- make it turn into a --	iconic	R		to right	tracepath	sweeps finger in direction c should push flap	R.d	ADD.d
10220800899	22	8	899	00:46:34			iconic	R		go into kitchen	tracepath	moves poimted hand to right into kitchen	R.d	X
10220801009	22	8	1009	00:54:31		ooh.	iconic	B		flying	H=H	spreads both arms as if flying	R.m	ADD.p
10220801357	22	8	1357	00:09:38		you know crooked means goes --	iconic	R		crooked	traceshape	c moves pointer finger in zigzag motion	R.a	ELAB.a
10220900666	22	9	666	00:24:45			iconic	L		closing of puzzle box		M moves hand horizontally as if she were closing the puzzle box	R.d	X
10220901474	22	9	1474	00:05:35		it's like a forward roll.	iconic	R		summersault	trace.path	moves index finger in a circular motion	R.d	RF.d
10220901911	22	9	1911	00:24:34		let's see if you can spin and get dizzy.	iconic	R		twirl	trace.path	M moves finger in a circle	R.m	RF.p
10221000323	22	10	323	00:15:10		ok, anyone gets any row.	iconic	R		row		moves finger over horizontal row on board game	R.a	RF.a
10221000324	22	10	324	00:15:10		either diagonal or across.	iconic - iconic	R - R		diagonal row - horizontal row	trace.path - trace.path	moves hand in a slant - moves hand horizontally	R.d;R.d	RF.d;RF.d
10221000325	22	10	325	00:15:12		or up and down.	iconic	R		vertical row	trace.path	moves hand vertically	R.d	RF.d
10221000471	22	10	471			we did family.	iconic	R		spin wheel	trace.path	moves hand in CW circle	R.m	ADD.p
10221000497	22	10	497	00:24:02		remember we give like food to people?	iconic	B		giving		holds hands in front of body then pushes them forward	R.a	ADD.a
10221000498	22	10	498	00:24:03		we wrap it up like a present?	iconic	B 		wrapping a present		moves hands in circles about each other and then pulls them horizontally apart	R.m	RF.p
10221001275	22	10	1275	00:53:50		like a round hard egg?	iconic	L		egg		moves hand into an oval shaped fist	R.a	RF.a
10221001542	22	10	1542	00:08:12		we try not to put ants into our food, you know?	iconic	B		mixing		hands in front of body moved in vertical small circles	R.m	ADD.p
10221001569	22	10	1569			she walked around the whole room that way.	iconic	R		whole room	trace path	large arch in front of body with finger	R.d	RF.d
10221001792	22	10	1792	00:21:40		where it's white and the the middle is yellow and orange and loose.	iconic - iconic - iconic	L - L - L		outside of fried egg - inside of fried egg - loose	trace path - trace path - trace path	large circle with finger on table - small circle on table - palm down, fingers moving independently	R.a;R.a;R.a	ADD.a;ADD.a;RF.a
10221001796	22	10	1796	00:21:58		that's what I had in New_York, when I ate breakfast with Ari and those guys.	iconic	B		toast		holds palms facing each other fingers curved in	R.a	ADD.a
10221001800	22	10	1800	00:22:10		White with the yellow loose.	iconic - iconic 	L - L		outside of fried egg - inside of fried egg	trace path - trace path	large circle with finger on table - small circle on table 	R.a;R.a	ADD.a;ADD.a
10221001802	22	10	1802	00:22:20		poached eggs on toast with spinach -- creamed spinach and sauce --	iconic	R		sauce over eggs		pam down, fingers moving back and forth	R.a	RF.a
10221100235	22	11	235	0.00623965400586		like fast.	iconic	r		scuttle		tapping fingers while moving hand forward	R.m	ADD.p
10221100271	22	11	271			pollen is the stuff in the flowers that the bees eat.	iconic - point	r - r	- bee pic	pollen - bee		holds hand up, plan down and wiggles fingers -	R.a;DP	RF.a;RF
10221100292	22	11	292			the grass+hoppers just love to --	iconic	r		jump		holds hand, palm out, at angle and then pushes hand up and forward	R.m	ADD.p
10221100296	22	11	296			leaping through the grass so green.	iconic	r		jump		holds hand, palm out, at angle and then pushes hand up and forward	R.m	RF.p
10221100497	22	11	497	0.0129445958304		a dog may great you by wagging it-'s --	iconic	l		tail wagging		points finger and wags it back and forth	R.a	ADD.a
10221100517	22	11	517			cats use their long sharp --	iconic	l		claw		palm down, spreads fingers out but curls them slightly inward	R.a	ADD.a
10221100647	22	11	647			a rabbit-'s long ears help it hear the smallest of the little sounds.	iconic	l		small		holds thumb and forefinger half inch apart, fingerprints in	R.a	RF.a
10221100687	22	11	687			you know how little those are.	iconic	l		small		holds thumb and forefinger half inch apart, fingerprints in	R.a	RF.a
10221100811	22	11	811	0.0203563942028	r	but no matter how much she reached and stretched she couldn't touch the moon.	iconic	r		reaching		reaches out arm	R.m	RF.p
10221100972	22	11	972			and the moon said everyday I get a little --	iconic	r		growing smaller		holds thumb and forefinger out, finger prints facing each other, about two inches apart, then brings them together	R.a	ADD.a
10221101327	22	11	1327				iconic	l		around bush	trace path	points and spins finger in the air	R.d	X
10221101462	22	11	1462	0.0086649187768		you can make it long.	iconic	b		long		holds hands two feet apart	R.a	RF.a
10221101463	22	11	1463			look Anielle@n.	iconic~	b		long		holds hands two feet apart	R.a	ADD.a
10221101465	22	11	1465			you can make it long this way as well as tall.	iconic - iconic	r - r		long - tall		slices the air horizontally - hand out palm donw, brings up vertically	R.a;R.a	ADD.a;RF.a
10221101518	22	11	1518	0.0116892355318		is you could make it a bigger house by putting the same exact structure right next to it.	iconic - iconic - iconic - iconic	r - r - r - r		bigger house - put - structure - put next to something		holds hand out as if holding onto a pipe help vertically - flattens hand and moves it in circles - traces arc in air with finger - holds hand as if holding the structure and then drops hand is if setting somethinf down	R.a;R.m;R.a;R.m	RF.a;RF.p;RF.a;ADD.p
10221101519	22	11	1519	0.0117111749095		and then you'll make it a long house.	iconic	r		long house		positions hand as if gripping something and then pulls it through the air	R.a	RF.a
10221101553	22	11	1553			you could do right next to it the same thing.	iconic	r		structure		holds hand as if holding a cup next to the block building	R.a	ADD.a
10221101556	22	11	1556			you put the same thing right here, and then you'll have a longer house.	iconic - iconic	r - r		structure - longer house		holds hand as if holding a cup next to the block building - pulls back hand from structure while hand is in "holding cup" form	R.a;R.a	ADD.a;RF.a
10221101653	22	11	1653			spin it little so it doesn't --	iconic	l		roll die		holds hand palm up and tips it over	R.m	RF.p
10221101797	22	11	1797	0.0184447603468		you want to build a domino bridge and you go --	iconic	r		path of dominoes	trace path	traces winding path in air showing how dominoes are typically lined up	R.d	ADD.d
10221101837	22	11	1837			no, turn it around.	iconic	r		turn around		points finger and spins clockwise	R.m	RF.p
10221200338	22	12	338	0.00866337402217		they go around the board.	iconic	l		puzzle boarder	trace shape	traces border of puzzle	R.d	RF.d
10221200677	22	12	677	0.0177975081563		no, I'm with you and she's with him.	iconic - point	l - l	- woman	with - woman		M waves hand back and forth between she and child - 	R.met;DP	RF.met;DA
10221201728	22	12	1728	0.0157198131774	r	Joseph was not very please so he wrote  a quiet pretty tune and made the audience sleepy but in the middle he put in a loud crash that woke them up with a start.	iconic	r		cimbal playing		jerks hand palm to the side	R.m	ADD.p
10221201750	22	12	1750			I took the violin and the bow and I play.	iconic	b		playing violing		left hand is poised as if holding violin and right hand is clenched as if holding a bow	R.m	RF.p
10240200471	24	2	471	00:29:44		yes, turn it.	Iconic	R		turning	H=H	Hand open as if grasping and knob and rotating right and left like turning a knob	R.m	RF.p
10240300090	24	3	90	00:04:40	F		Iconic	L		Sleeping	B=B	F puts hands under head to imitate sleeping	R.m	X
10240300115	24	3	115	00:05:36	FR	"I have on my adorable pajamas and I brushed my little tooth"	Iconic	L		Brushing 	H=H	F sweeps horizontal finger in front of mouth like brushing	R.m	RF.p
10240300352	24	3	352	00:25:05	F	elephant?	Iconic	R		Elephant	H=O	F extends arm above head and holds it like an elephant trunk	R.a	RF.a
10240400342	24	4	342			how many rabbits do I have?	iconic.iconic	R.L		rabbit.rabbit	H=O.H=O	holds up two fingers on each hand as if they are the ears of two different rabbits	R.a;R.a	RF.a;RF.a
10240400344	24	4	344			how many rabbits?	iconic.iconic	R.L		hopping. Hopping	H=O.H=O	holds up two fingers on each hand as if they are the ears of two different rabbits while hopping them	R.m;R.m	ADD.p;ADD.p
10240400346	24	4	346				iconic.iconic	R.L		hopping. Hopping	H=O.H=O	holds up two fingers on each hand as if they are the ears of two different rabbits while hopping them	R.m;R.m	X;X
10240400449	24	4	449	00:30:25	F		Iconic	L	square	Square's shape	traceshape	traces the shape of square on puzzle	R.a	X
10240400452	24	4	452	00:30:29	F	what shape is this?	Iconic	L	square	Square's shape	traceshape	traces the shape of square on puzzle	R.a	ADD.a
10240400454	24	4	454		F	is it a triangle?	Iconic~	L	square	Square's shape	traceshape	traces the shape of square on puzzle	R.a	ADD.a
10240400946	24	4	946	00:09:21	F	strawberries, carrots.	Point-Point-palm	R-R-B	Strawberries - Carrots.C	Strawberries -Carrots -C			DP;DP;R	RF;RF;ADD
10240500527	24	5	527	00:16:44		roar!	hold~+iconic	R.L	dinosaur on block	dinosaur. Attacking	H=O	M moves left hand forward forcefully as if it is the dinosaur attacking	DS;R.m	ADD.s;ADD.p
10240501402	24	5	1402	00:56:28	F	clear a path so you can -- ride your bike through here.	iconic	B		through here	tracepath	F traces a path for the child's bike with finger	R.d	DA
10240501423	24	5	1423	00:56:55	F	you trying to go this way?	iconic	R		path of C	tracepath	F traces a path for the child's bike with finger	R.d	DA
10240701586	24	7	1586	00:52:03		and your legs lock too.	iconic	R		circular path	tracepath	M turns pointer in a halfcircle to show circular path of cartwheel.	R.d	ADD.d
10240701974	24	7	1974	00:08:00		Cshooo.	iconic	R		sliding	H=B	M extends downward facing palm as if it is smt or someone sliding	R.m	ADD.p
10240800355	24	8	355	00:14:03		put the dot -- your fingers on the paper.	iconic	R		fingerpainting dots	H=H	holds index finger above blank sheet of paper and moves twice as if to tap, though not actually touching paper	R.m	RF.p
10240800742	24	8	742	00:29:50	F	we don't have that much room, so we're going to go that way.	iconic	R		space where puzzle will be as it gets done	trace path	palm out, places edge of palm above edge of puzzle, motions outward in direction puzzle pieces will get added	R.d	DA
10240801007	24	8	1007	00:36:36	F	they wanted to make it really big -- but -- I guess they couldn't fit it all on there.	iconic	B		big	H=O	palms in, moves arms away from side of body so palms are about three feet apart	R.a	RF.a
10240801421	24	8	1421	00:49:13	F	to the -- to the people that you --	iconic	R		writing	H=H	index and middle fingertip touching tip of thumb, moves hand from L to R while shaking fingertips 	R.m	ADD.p
10240801550	24	8	1550	00:53:02	Fb	on this --	iconic	L		beside	tracepath	palm in, moves hand from L in small arc toward R	R.d	ADD.d
10240801594	24	8	1594	00:54:05	F	you use to put these in the stapler -- and they -- you punch them through the paper, then you hold -- it holds the paper together.	point - iconic - iconic	R - R - B	staple - - 	staple - punching - holding	touch.H=O.H=O 	 - squeezes hand into fist three times - pinches index and middle fingertips and thumb tips together	DP;R.m;R.m	DA;RF.p;RF.p
10240801671	24	8	1671	00:56:21	F	see?	iconic	R		the letter S	trace shape	index finger makes a small sine wave shaped movement	R.a	ADD.a
10240900252	24	9	252	00:10:15		and he tried to catch the flamingos, but every time he tried to catch one --	iconic	B		catching		lifts hands, palms in, to space in front of body and quickly sweeps hands toward body while crossing at wrists	R.m	RF.p
10240900274	24	9	274	00:10:53		whoosh!	iconic	B		catching		lifts hands, palms in, to sides of body and quickly sweeps hands toward body while crossing at arms	R.m	ADD.p
10240900312	24	9	312	00:12:40		and every time the flamingo tried to get close, he'd pull the apple away.	iconic	B		pull		makes two fists and slowly moves hands from knees toward body	R.m	RF.p
10240900326	24	9	326	00:13:21		and then -- Mister_TomB, he took the flamingos over to the party, and he let them go.	iconic	WB		take over	trace path	leans toward left	R.d	RF.d
10240902144	24	9	2144	00:20:16		I make the perfect w@l.	iconic	R		underlining	trace path	points at space above head and traces one quick line then another in sync with emphasis on the words perfect and W	R.m	ADD.p
10240902462	24	9	2462	00:28:28	@	I don't know what a bear looks like.	flip-iconic	L		don't know-bear head		balls LH into a fist	C;R.a	RF;RF.a
10240902463	24	9	2463	00:28:29	@b	that's a --	iconic	B		bear		balls both hands into fists and puts base of L wrist onto top of R fist	R.a	ADD.a
10240902464	24	9	2464	00:28:31	@b	that's a bear.	iconic~	B		bear		balls both hands into fists and puts base of L wrist onto top of R fist	R.a	RF.a
10240902466	24	9	2466	00:28:33	@	big mouth.	iconic~	B		bear's mouth		balls both hands into fists and puts base of L wrist onto top of R fist, then opens and closes L fist	R.a	RF.a
10240902467	24	9	2467	00:28:34	@	raar, raar, raar!	iconic~	B		bear's mouth		balls both hands into fists and puts base of L wrist onto top of R fist, then opens and closes L fist	R.a	ADD.a
10240902468	24	9	2468	00:28:35	@	a big tall bear.	iconic~	B		bear's mouth and bear's  body		balls both hands into fists and puts base of L wrist onto top of R fist, then opens and closes L fist, then moves both arms up so L hand is resting on top of upright R arm	R.a	RF.a
10240902469	24	9	2469	00:28:36	@	raar raar!	iconic~	B		bear's mouth and bear's  body		balls both hands into fists and puts base of L wrist onto top of R fist, then opens and closes L fist, then moves both arms up so L fist is resting on top of R fist of upright R arm	R.a	ADD.a
10241000053	24	10	53	00:04:50	F	and you got to move one of your pawns so you can open up a door.	cont point - iconic	L - B	row 3 in front of C's white pawns on row 2-	row 3 in front of C's white pawns on row 2- opening door	touch -	 - holds both hands up like praying, then quickly flips palms toward C like two doors swinging open	DP;R.m	RF;RF.p
10241000054	24	10	54	00:04:54	F	and let her run out.	iconic	R		queen exiting	path	R hand chops downward and toward C	R.d	RF.d
10241000055	24	10	55	00:04:55	F	but she can't -- she won't run out unless the -- door's not open.	iconic	B		door opening and closing		B hands flip twice quickly from palm side to palms facing self like two doors swinging open and shut	R.m	RF.p
10241000057	24	10	57	00:05:00	F	well the pawns act like doors because -- they are --	point - iconic 	B - B	C's white pawn on G2 and C's white pawn on D2 - 	C's white pawn on G2 and C's white pawn on D2 -  self moving through door		 - holds B hands up, palms facing each other and hands slightly cupped, like two doors that latch in the center, like earlier iconic for door and then moves hands wider apart and toward sides of self as if sides of door were moving behind self	DP;R.a	RF;RF.a
10241000058	24	10	58	00:05:03	F	you remember the -- the guys -- the -- with the guns who were running back and forth?	iconic	B		characters from a movie running back and forth	 	hands cupped, palms facing each other, hands about body width apart and then right hand crosses in front of left hand twice	R.m	RF.p
10241000062	24	10	62	00:05:09	F	so they're going out -- trying to cover as much ground as they can.	iconic	B		moving forward 		lifts hands behind head, palms facing C, and quickly moves hands toward C away from self and then lifts hands back a little away from C then makes a small downward motion with hands cupped and palms down three times	R.d	RF.d
10241000063	24	10	63	00:05:12	F	and establish in one position.	iconic	B		establishing position		lifts hands from knees and slaps back down with palms down and fingers spread	R.m	RF.p
10241000064	24	10	64	00:05:14	F	and these guys are coming in behind them.	point - iconic	B - B	row one of C's white royalty pieces -	row one of C's white royalty pieces - behind	 - trace path	 - moves pointing fingers from row closest to C in arc shape back toward self, showing C that row one pieces stay behind pawns	DP;R.d	DA;RF.d
10241000066	24	10	66	00:05:19	F	only way the king or -- the only way the queen the other guys can get out is if the pawns get out of their way.	point - cont point - flip - iconic	L - L - L - B	C's white king - pieces to the R of white king from C's perspective - -	C's white king - pieces to the R of white king from C's perspective - exclamation- scattering	- - - trace path	- - - with palms facing C, hands together in front of body and fingers slightly cupped, quickly moves hands away from body, apart from each other and spreads fingers	DP;DP;C;R.d	RF;RF;RF;RF.d
10241000068	24	10	68	00:05:28	F	and then -- we got to let one of the pawns let her out.	point - iconic	B - B	E3 and D3 	E3 and D3 - pawns open way	touch - touch	 - two index fingers point center of board in front of queen and move to sides together as if openning way for queen	DP;R.m	RF;RF.p
10241000081	24	10	81	00:05:40	F	got to let my -- queen out.	iconic	R		moving forward	trace path	uses point shaped hand to trace a small path from starting point toward C and away from self twice	R.d	RF.d
10241000093	24	10	93	00:05:59	F	but she -- see, she can come this way.	iconic - point	L - L	 - H5	moving diagonally - H5	trace path - touch	points at F3 and drags point diagonally through G4 and H5 in possible diagonal path on red for C's white queen -	R.d;DP	DA;DA
10241000095	24	10	95	00:06:03	F	for her to come through.	iconic	L		moving diagonally	trace path	point in diagonal path from previous iconic from E2 diagonally along red squares to H5 in possible path on red squares for C's white queen	R.d	DA
10241000105	24	10	105	00:06:12	F	because it's wide open for the bishop too.	iconic	R		moving diagonally	trace path	drags point from E2 through D3, C4, B5 and A6 diagonally to show possible path for C's white bishop starting on a red square	R.d	ADD.d
10241000106	24	10	106	00:06:13	F	not only did you let the queen out, but you let the bishop out.	point - point - iconic - point + point	L - R - R - L + R	C's white bishop on F1 - C's white queen on D1 - - H5 possible endpoint for C's white queen + A6 possible endpoint for C's white bishop	C's white bishop on F1 - C's white queen on D1 - moving diagonally - H5 possible endpoint for C's white queen + A6 possible endpoint for C's white bishop	 - - trace path - touch + touch	-  - drags point from E2 through D3, C4, B5 and A6 diagonally to show possible path for C's white bishop starting on a red square - +	DP;DP;R.d;DP;DP	RF;RF;DA;ADD;ADD
10241000107	24	10	107	00:06:16	F	so, they can come -- she can come all -- bishop can come all the way down here -- and the queen can come all the way down here.	point + iconic - point + iconic - point	L + R - R + L - L	 H5 - - A6 + - H5	H5 + moving diagonally - A6 + moving diagonally - H5	touch + trace path - tap + trace path - tap	 + drags point from E2 through D3, C4, B5 and A6 diagonally to show possible path for C's white bishop starting on a red square - + drags point from E2 or F3 through G4 and H5 in possible diagonal path on red for C's white queen -	DP;R.d;DP;R.d;DP	DA;DA;DA;DA;DA
10241000134	24	10	134	00:07:07	F	you can move the bishop this way --	iconic	R		moving diagonally	trace path	points at E2 and drags point diagonally to D3 along possible diagonal path for C's bishop	R.d	DA
10241000135	24	10	135	00:07:09	F	the king, you can move up, but you don't want to move your king too much.	iconic - wait	R - L		moving forward - stop	trace path -	drags point from edge of E2 closer to C toward edge of E2 closer to F to show a possible forward path to E2 that C's white king on E1 could make -	R.d;C	RF.d;RF
10241000159	24	10	159	00:07:46	F	because you move right down this spot, so there's -- there's nothing between the bishops.	iconic - iconic	R - B		diagonal movements - no space between	trace path -	points at B5 where C's white bishop came from, moves point toward C's white bishop on A6, then moves point toward B7 in a possible future path for bishop - palms facing self, fingers together, taps fingertips together to show no space between	R.d;R.a	RF.d;RF.a
10241000160	24	10	160	00:07:50	F	so now -- I can go after him.	iconic - point + iconic	B - L - R	 	no space between - chessboard + go after	  - + trace path	taps fingertips together once more, with palms facing self and fingers together - + moves point very quickly away from self diagonally toward C's white bishop on A6 to show the possible path of F's black bishop capturing C's white bishop	R.a;DP;R.d	ADD.a;ADD;ADD.d
