SUBJECT	SESSION	TIME	UTTERANCE	MATCHES	MATCHED	CONTEXT
27	6	00:34:45	let's see if he can fit in there now.	1	in	
27	6	00:34:45	they going to come over to visit?	1	over	
27	6	00:34:45	he can walk through the door.	1	through	
27	6	00:34:45	we'll -- we'll put the walls back -- like this and mommy will hook them up so that we won't -- don't have any trouble.	2	back, up	
27	6	00:34:45	keeping them together!	1	together	
27	6	00:34:45	are they all in?	2	all, in	
27	6	00:34:45	ok, let's put the door back on.	2	back, on	
27	6	00:34:45	no, it's not going to fall down anymore.	1	down	
27	6	00:34:45	oh, Freddy fell down.	1	down	M and C talking simultaneously.
27	6	00:34:45	who fell down now?	1	down	
27	6	00:34:45	watch the rug because you're going to push -- push the house down.	1	down	
27	6	00:37:19	ok, you can't -- you can't get -- you can't walk right out -- sit on the sidewalk.	3	right, out, on	
27	6	00:37:19	because they're going to come out and walk on it.	2	out, on	
27	6	00:37:19	how about this sidewalk.	1	about	
27	6	00:37:19	when they walk over it, they can't trip on the green one.	2	over, on	
27	6	00:37:19	is he going to see all of his friends at home+?	1	all	
27	6	00:38:34	on the outside?	2	on, outside	
27	6	00:38:40	### turn on the outside?	3	turn, on, outside	M and C talking simultaneously.
27	6	00:38:40	it's cold in the house?	1	in	
27	6	00:38:40	or is it cold outside?	1	outside	
27	6	00:38:57	ok, then let's get all warm in the house.	2	all, in	
27	6	00:38:57	we going to turn on the heat for them?	2	turn, on	
27	6	00:38:57	give them some hot chocolate?	1	some	
27	6	00:39:07	he's not in the house!	1	in	
27	6	00:39:07	he's in the house now.	1	in	
27	6	00:39:20	you better put some more -- things on the roof, right?	3	some, on, right	
27	6	00:39:20	work on the roof.	1	on	
27	6	00:39:20	yeah, you can build it up like that.	1	up	
27	6	00:39:20	you build it over here so it's like --	1	over	M and C talking simultaneously.
27	6	00:39:20	all done?	1	all	
27	6	00:39:20	put the blocks in there?	1	in	
27	6	00:39:20	they might not all fit in the house.	2	all, in	
27	6	00:39:48	there are people in that house.	1	in	
27	6	00:39:53	it was just a little -- bug flying.	1	little	
27	6	00:40:12	it went outside.	1	outside	M and C talking simultaneously.
27	6	00:40:15	out the window, yep.	1	out	
27	6	00:40:20	all the colors.	1	all	
27	6	00:40:30	hm right.	1	right	
27	6	00:40:30	wait till I build it up.	1	up	
27	6	00:40:30	we'll make a little dog+house for Aspen, ok?	1	little	
27	6	00:40:30	next to the big house.	2	next, big	
27	6	00:41:22	he can fit in here.	1	in	
27	6	00:41:22	he can walk right in the door.	2	right, in	
27	6	00:41:22	yeah, you can put the blocks on there.	1	on	
27	6	00:41:22	he would probably like those on his house.	1	on	M and C talking simultaneously.
27	6	00:41:22	too small?	1	small	
27	6	00:41:48	we didn't really put a roof on this one.	1	on	
27	6	00:42:00	we like the rain, right?	1	right	
27	6	00:42:23	yeah, it's windy out today.	1	out	
27	6	00:42:23	I'm trying to think of what else we should put on our house.	1	on	
27	6	00:42:46	well, let's start with one slide first.	2	with, first	
27	6	00:43:05	might be a bumpy slide.	1	bumpy	
27	6	00:43:29	and they'll go bump, bump, bump, bump, bump.	5	bump, bump, bump, bump, bump	
27	6	00:43:29	you could put it on the dog+house.	1	on	
27	6	00:43:54	can you get me that green block way over there?	1	over	
27	6	00:43:54	with four of them?	1	with	
27	6	00:43:54	near my foot.	1	near	
27	6	00:43:54	you can get that one right there.	1	right	
27	6	00:43:54	mama's belly hurts right now.	1	right	M and C talking simultanoeusly.
27	6	00:43:54	-- a bumpy slide.	1	bumpy	
27	6	00:43:54	you can climb up this side.	2	up, side	
27	6	00:44:59	right there by your knee.	2	right, by	
27	6	00:45:00	I'm going to have a little big a step here.	2	little, big	
27	6	00:45:00	that's a big jump.	1	big	
27	6	00:45:38	and they can climb up here and they go bump bump bump bump bump.	6	up, bump, bump, bump, bump, bump	
27	6	00:45:38	all the way to the dog+house?	1	all	
27	6	00:46:18	there's no people in there yet.	1	in	
27	6	00:46:26	they're in here.	1	in	
27	6	00:46:58	put the people in the cars?	1	in	
27	6	00:46:58	I don't have all the blocks I need.	1	all	M and C talking simultaneously.
27	6	00:46:58	ok, tell them to wait until the garage is built and then he can come on in.	2	on, in	
27	6	00:46:58	I think the orange car will fit in her but not the bigger car.	2	in, bigger	
27	6	00:46:58	I better make it a little bit taller for that -- car.	3	little, bit, taller	M and C talking simultaneously.
27	6	00:46:58	have him drive on the roads.	1	on	
27	6	00:48:31	can you push some of the blocks towards mommy so I can build a garage?	1	some	M and C talking simultaneously.
27	6	00:48:42	here, push them a little bit further because mommy can't reach them so well.	3	little, bit, further	
27	6	00:48:42	all the way down?	2	all, down	
27	6	00:48:42	oh, you're making a big sidewalk.	1	big	
27	6	00:48:42	go through the garage?	1	through	
27	6	00:48:42	it may not be wide enough.	2	wide, enough	
27	6	00:50:07	and you have the garage over here.	1	over	M and C talking simultaneously.
27	6	00:50:13	so you can walk out the front door to the garage and get the car.	2	out, front	M and C talking simultaneously.
27	6	00:50:13	walk out the door.	1	out	
27	6	00:50:13	hop in the car?	1	in	
27	6	00:50:13	go through the garage?	1	through	
27	6	00:51:13	that looks nice on the garage.	1	on	
27	6	00:51:13	they're underneath.	1	underneath	
27	6	00:51:13	oh, you're right.	1	right	M and C talking simultaneously.
27	6	00:51:47	big bucket fell on him?	2	big, on	
27	6	00:52:21	ok, then he's got to hide in garage.	1	in	
27	6	00:52:27	he doesn't want to get all wet?	1	all	
27	6	00:52:27	you're all done with the blocks?	2	all, with	
27	6	00:52:46	should we put them in the bags?	1	in	
27	6	00:52:46	want to go back?	1	back	
27	6	00:24:22	no, that's Magenta, right?	1	right	
27	6	00:25:21	tell me who they are before you put them down.	2	before, down	
27	6	00:25:40	magenta, right.	1	right	
27	6	00:25:59	turn it over.	2	turn, over	
27	6	00:26:19	a little bird!	1	little	
27	6	00:26:58	we'll have to find out what the kitty's name is.	1	out	
27	6	00:27:34	pepper, right.	1	right	
27	6	00:28:44	has eight legs.	1	eight	
27	6	00:28:44	there's a lot of cards!	1	lot	
27	6	00:29:17	your turn.	1	turn	
27	6	00:29:32	no, we have to play with our toys.	1	with	
27	6	00:29:32	are you -- are you all done with this?	2	all, with	
27	6	00:29:36	let's put them back.	1	back	
29	4	00:00:51	with the boat?	1	with	
29	4	00:00:51	did you ride on a boat once?	1	on	
29	4	00:00:51	I'm making them higher and higher.	2	higher, higher	
29	4	00:00:51	that's pretty high.	1	high	
29	4	00:00:51	blocks are getting higher?	1	higher	
29	4	00:02:03	are you going to put the man on top of them?	2	on, top	
29	4	00:02:03	right on top there?	3	right, on, top	
29	4	00:02:03	he's up pretty high.	2	up, high	
29	4	00:02:03	do you think we should take some food on the boat?	2	some, on	
29	4	00:02:03	should we cook some food for the boat ride?	1	some	
29	4	00:02:03	is that all the blocks?	1	all	
29	4	00:02:03	no more left in there.	2	left, in	
29	4	00:02:03	you want to put them back in there?	2	back, in	
29	4	00:02:03	that's a different place to put them.	1	place	
29	4	00:02:03	your doll's clothes are in here.	1	in	
29	4	00:02:03	she wants some?	1	some	
29	4	00:01:25	our grass is very long.	1	long	
29	4	00:01:25	it's long, isn't it?	1	long	
29	4	00:01:25	should I get some --	1	some	
29	4	00:01:25	I would like, um, some green+beans.	1	some	
29	4	00:01:25	over there?	1	over	
29	4	00:04:12	here's some money.	1	some	
29	4	00:04:12	here's some money.	1	some	
29	4	00:04:12	you want some green+beans too?	1	some	
29	4	00:04:12	put it in the bowl?	1	in	
29	4	00:04:12	no, you can't get on the table.	1	on	
29	4	00:04:12	we just put the food on there.	1	on	
40	4	00:00:34	your turn.	1	turn	
40	4	00:00:34	but you got to put it on right.	2	on, right	
40	4	00:00:34	mommy's turn.	1	turn	
40	4	00:00:57	go ahead.	1	ahead	
40	4	00:00:57	your turn.	1	turn	
40	4	00:00:57	ok, put it on there.	1	on	
40	4	00:00:57	I don't have a clue about what you just said.	1	about	
40	4	00:00:57	ok, your turn.	1	turn	
40	4	00:01:22	ok, your turn first.	2	turn, first	
40	4	00:01:22	you put a block on top.	2	on, top	
40	4	00:01:22	right in the middle.	3	right, in, middle	
40	4	00:01:22	now mommy's turn.	1	turn	
40	4	00:01:22	you want to play with your puzzles?	1	with	
40	4	00:01:22	they're under Boots.	1	under	
40	4	00:01:22	I don't know because we have a z@l over here, so we need to, uh --	1	over	
40	4	00:01:22	over here.	1	over	
40	4	00:01:22	see all your puzzles?	1	all	
40	4	00:01:22	all right.	2	all, right	
40	4	00:01:22	can you fit them in?	1	in	
40	4	00:01:22	put him in right.	2	in, right	
40	5	00:04:58	come on.	1	on	
40	5	00:04:58	come on, we have to get in here.	2	on, in	
40	5	00:04:58	we're all eating dinner.	1	all	
40	5	00:04:58	how are you getting in here Sara?	1	in	
40	5	00:04:58	that's right, but you got to get up here.	2	right, up	
40	5	00:04:58	could Jennifer please lift you up?	1	up	
40	5	00:05:27	sit down.	1	down	
40	5	00:05:27	Sara, come on.	1	on	
40	5	00:05:27	have that first, and then when you get through.	2	first, through	
40	5	00:06:32	come on, be a good girl.	1	on	
40	5	00:06:32	bless us oh Lord and these thy gifts we're about to receive from thy bounty through Christ our Lord.	2	about, through	M praying.
40	5	00:06:32	in the name of the Father, and the Son, and the Holy_Spirit.	1	in	M praying.
40	5	00:06:32	bless us oh Lord and these our gifts which you're about to receive from thy bounty through Christ our Lord.	2	about, through	M praying.
40	5	00:09:14	I thought we weren't going to fight with Mora anymore.	1	with	
40	5	00:09:14	why were you fighting with Mora?	1	with	
40	5	00:09:14	who hit who first?	1	first	
40	5	00:09:14	you hit her first?	1	first	
40	5	00:09:14	you just said you hit her first.	1	first	
40	5	00:09:14	what's right there?	1	right	
40	5	00:09:14	who's on your plate?	1	on	
40	5	00:13:14	who's big purple dude?	1	big	
40	5	00:13:14	a -- a little person.	1	little	
40	7	00:45:34	make it on here.	1	on	
40	7	00:45:37	it's harder and flatter.	1	flatter	
40	7	00:45:37	let's see how many you can get on.	1	on	
40	7	00:45:53	it will go higher on this.	2	higher, on	
40	7	00:46:02	this doesn't move so you can put more up here without them falling than on the floor.	2	up, on	F moves hand like toppling tower of bricks
40	7	00:46:02	I'll bring this over for you.	1	over	
40	7	00:46:02	put it right there.	1	right	
40	7	00:46:02	now how many you think you can get in a row?	2	in, row	
40	7	00:47:02	that's -- that's better for building on.	1	on	
40	7	00:47:02	that's right.	1	right	
40	7	00:47:02	yes, I'm counting with you.	1	with	
40	7	00:48:00	let's build it together.	1	together	
40	7	00:48:00	but I'm not as good as you on this.	1	on	
40	7	00:48:00	your turn.	1	turn	
40	7	00:48:43	Will you put them on, now?	1	on	
40	7	00:48:43	I bumped it.	1	bumped	
40	7	00:48:58	I have fun playing with you.	1	with	
40	7	00:49:03	how many do you have so far?	1	far	
40	7	00:49:08	one, two, three, four, five, six, seven, eight, nine, ten, eleven, twelve, thirteen.	1	eight	
40	7	00:49:38	four, five six, seven, eight, nine, ten.	1	eight	
40	7	00:49:40	start over?	1	over	
40	7	00:49:40	I helped you with two.	1	with	
40	7	00:49:40	I'll hand them to you and you put them on.	1	on	
40	7	00:50:00	Winnie fall out.	1	out	
40	7	00:50:00	over there.	1	over	
40	7	00:50:39	I put them over here.	1	over	
40	7	00:50:46	how high do you think we can get this?	1	high	
40	7	00:51:10	I used to play that every morning to wake you up when you were little.	2	up, little	
40	7	00:51:12	oh, you bumped it.	1	bumped	
40	7	00:51:14	put it back?	1	back	
40	7	00:51:14	you can't bump it.	1	bump	
40	7	00:51:14	here let's do it this way down here.	1	down	
40	7	00:51:14	oh no, you don't stand on that.	1	on	
40	8	00:14:00	be right there.	1	right	
40	8	00:14:00	yes don't play with them.	1	with	
40	8	00:14:00	put them down.	1	down	
40	8	00:14:00	because I don't want you to play with them and get them all over.	3	with, all, over	
40	8	00:14:00	that's all.	1	all	
40	8	00:14:00	alright now we got to roll up your sleeves.	1	up	
40	8	00:14:00	rub it in between your fingers and on your hands.	3	in, between, on	
40	8	00:14:00	get it all really good.	1	all	
40	8	00:14:00	between the fingers.	1	between	
40	8	00:18:34	right?	1	right	
40	8	00:18:34	first.	1	first	
40	8	00:21:06	I think what I want to do is put them on here.	1	on	
40	8	00:21:06	and see how high we could build it.	1	high	
40	8	00:21:41	I say we build it right here again.	1	right	
40	8	00:22:51	why don't you put the other part back on?	3	part, back, on	
40	8	00:22:51	let her play with that.	1	with	
40	8	00:37:08	you think about that?	1	about	
43	6	00:33:56	###, we're going to do it on this side.	2	on, side	
43	6	00:34:!0	do you want to put one on this side?	2	on, side	
43	6	00:34:17	so what do we need right here?	1	right	
43	6	00:34:17	put that in there.	1	in	
43	6	00:34:17	ok, then a blue part?	1	part	
43	6	00:34:17	then a purple part.	1	part	
43	6	00:34:40	then what's next?	1	next	
43	6	00:34:40	now we need a connecting one on this side.	2	on, side	
43	6	00:34:57	to make it look the same, what do we need right here?	1	right	
43	6	00:35:11	see this little part that it connects to?	2	little, part	
43	6	00:35:11	it needs us to turn it this way.	1	turn	
43	6	00:35:11	now they look the same and now it has something to connect on to.	1	on	
43	6	00:35:11	can you put your gears back on there?	2	back, on	
43	6	00:35:11	want to put a little -- do you want to put a little handle on there?	3	little, little, on	
43	6	00:36:37	bring it over here.	1	over	
43	6	00:36:37	how about if we just do a -- a different truck?	1	about	
43	6	00:36:37	bring it over here so I can make it look the same.	1	over	
43	6	00:36:37	we got to put wheels on it.	1	on	
43	6	00:36:37	where are you going to go out in space?	2	out, in	
43	6	00:37:42	or -- maybe you could go out to the asteroid belt?	1	out	
43	6	00:38:35	yeah, it's on your train table.	1	on	
43	6	00:38:35	there's the back wheels.	1	back	
43	6	00:38:35	how long do you want it?	1	long	
43	6	00:39:34	do you want it connected on to here or do you want a new one?	1	on	
43	6	00:39:34	uh, how about --	1	about	
43	6	00:40:33	this is so big now, it can carry the -- the space shuttle.	1	big	
43	6	00:40:33	or the little pigs.	1	little	
43	6	00:41:24	here, put the space shuttle right here.	1	right	
43	6	00:41:29	over there.	1	over	
43	6	00:41:29	he is helping the truck move around.	1	around	
43	6	00:41:29	what's inside?	1	inside	
45	4	00:42:19	that's just a crispy piece.	1	piece	
45	4	00:42:41	so high.	1	high	
45	4	00:43:28	did I use all the blocks?	1	all	
45	4	00:43:28	that's a crispy piece.	1	piece	
45	4	00:43:28	that's the best part.	1	part	
45	4	00:44:15	hey you're making a big mess here.	1	big	
45	5	00:01:39	I'll put one on.	1	on	
45	5	00:01:39	and then you put one on.	1	on	
45	5	00:01:39	you have five blocks on there.	1	on	
45	5	00:02:48	walk -- why don't you just walk around him?	1	around	
45	5	00:02:48	I'll move him by you.	1	by	
45	5	00:02:48	sit down.	1	down	
45	5	00:02:48	try the right hand.	1	right	
45	5	00:02:48	left.	1	left	
45	5	00:03:47	but he doesn't -- he won't ask to get picked up.	1	up	
45	5	00:03:47	why don't you make him something to eat in your kitchen?	1	in	
45	5	00:03:47	he wants some soup.	1	some	
45	5	00:03:47	or you can make it in your microwave.	1	in	
45	5	00:03:47	can you make it higher?	1	higher	
45	5	00:05:55	what should I do with it?	1	with	
45	5	00:05:55	knock it down?	1	down	
45	5	00:06:07	what about Hello_Kitty?	1	about	
45	5	00:06:07	how about grandma?	1	about	
45	5	00:06:07	call him up.	1	up	
45	5	00:06:07	oh he's going to knock down the tower!	1	down	
45	5	00:06:07	let's see how high we can build one.	1	high	
45	5	00:07:55	what about this?	1	about	
45	5	00:08:00	what about this?	1	about	
45	5	00:08:06	what about this?	1	about	
45	5	00:08:12	what about this?	1	about	
45	5	00:08:18	how about this?	1	about	
45	5	00:08:25	how about this?	1	about	
45	5	00:08:34	how about this?	1	about	
45	5	00:08:34	well let's put these away.	1	away	
45	5	00:08:34	here I'll put the blocks away.	1	away	
45	5	00:08:34	you put the Mr_Potato_Head away.	1	away	
45	5	00:08:34	well you said you wanted to play with your own toys	1	with	
45	5	00:08:34	hold on.	1	on	
45	5	00:08:34	I'm putting Mr_Potato_Head away.	1	away	
45	5	00:05:36	um he lives on Sesame_Street.	1	on	
