subject	session	row	p_utts	c_utts	context
22	2	1569	---	hello.	M talking to F.
22	2	1576	---		M talking to F.
22	2	1577			F talking to M.
22	2	1578			M talking to F.
22	2	1587	---		F talking to M.
22	2	1589	---	###	F talking to M, C babbling.
22	2	1590	---		M talking to F.
22	2	1591	---		F talking to M.
22	2	1592	---		M talking to F.
22	2	1593	---		F talking to M.
22	2	1594	---		M talking to F.
22	2	1597	---		F talking to M.
22	2	1598	---		M talking to F.
22	2	1646	---		F talking to M.
22	2	1647	---		M talking to F.
22	2	1648	---		F talking to M.
22	2	1650	---		F talking to M.
22	2	1666	---		F talking to M.
22	2	1668	---	papa.	M talking to F
22	2	1675	---		M talking to F.
22	2	1684	---		M talking to F.
22	2	1690	---		M talking to F.
22	2	1691	---		F talking to M.
22	2	1702	who's that?		F talking in phone in background
22	2	1708	---		F talking to M.
22	2	1709	---		M talking to F.
22	2	1710	---	baba.	F talking to M.
22	2	1711	---	baba.	M talking to F.
22	2	1712	---		F talking to M.
22	2	1752	---		M talking to F.
22	2	1753	---		F talking to M.
22	2	1761			F talking to M.
22	2	1789	---		F talking to E.
22	2	1798	---		F talking to M
22	2	1799	---		M talking to F
22	2	1800	---		F talking to M
22	2	1801	---	###	F talking to M
22	2	1803	---		F talking to M.
22	2	1804	---		M talking to F.
22	2	1805	---		F talking to M.
22	2	1806	---		M talking to F.
22	2	1807	---		F talking to M.
22	2	1808	---		M talking to F.
22	2	1809	---	###	F talking to M.
22	2	1810	---	###	M talking to F.
22	2	1811	---	###	F talking to M.
22	2	1812	---	###	M talking to F.
22	2	1813	---	###	F talking to M.
22	2	1814	---	###	M talking to F.
22	4	1858	---		M saying Piggie nursrey rhyme.
22	4	2608		how are you?	C talking to Potato Head
24	1	26	---		M talking to F.
24	1	27	---		F talking to M.
24	1	28	---		M talking to F.
24	1	29	---		F talking to M.
24	1	32	---		F talking to E.
24	1	33	---		F talking to E.
24	1	34	come on, Zoe.		F talking to C, picks up C, carries her into bedroom to watch video.
24	1	35	---		F talking to E.
24	1	36	---		F talking to E.
24	1	38	---		F talking to E.
24	1	39	---		F talking to E.
24	1	41	yay!		F talking to C.
24	1	43	see the baby, Zoe?		F talking to C.
24	1	46	yay, yay.		F talking to C.
24	1	47	nose, Zoe.		F talking to C.
24	1	48	nose.		F talking to C, C points to own nose and then to ear.
24	1	49	yay!		F talking to C.
24	1	51	your nose, Zoe.		F talking to C, F points to C's nose.
24	1	52	your nose.		F talking to C, F points to C's nose.
24	1	53	arms.		F talking to C, repeating video.
24	1	54	arms up, Zoe.		F talking to C, F anticipating video instruction.
24	1	55	you're sitting too close.		F talking to C, F pulls C away from TV.
24	1	56	arms down, Zoe.		F talking to C, repeating video.
24	1	58	down, right.		F talking to C.
24	1	59	where's your mouth?		F talking to C, repeating video.
24	1	61	there you go!		F talking to C.
24	1	62	wave.		F talking to C.
24	1	63	can you wave?		F talking to C, F waves.
24	1	64	can you say dog, Zoe?		F talking to C, repeating video.
24	1	65	---		C looking at camera, F talking to E.
24	1	67	cat.		F talking to C, repeating video.
24	1	68	cat.		F talking to C, repeating video.
24	1	69	see the baby.		F talking to C., referring to video.
24	1	70	baby, Zoe.		F talking to C, referring to video.
24	1	71	baby.		F talking to C, referring to video.
24	1	72	do you see the baby?		F talking to C, referring to video.
24	1	73	can you see the baby?		F talking to C, referring to video.
24	1	74	baby.		F talking to C, referring to video.
24	1	75	can you clap your hands?		F talking to C, repeating video; F claps hands.
24	1	76	wave?		F talking to C, referring to video.
24	1	79	yeah, she's waving at you, Zoe.		F talking to C, referring to video.
24	1	80	gorilla.		F talking to C, referring to video.
24	1	81	that's a tough one.		F talking to C.
24	1	82	elephant.		F talking to C, repeating video.
24	1	83	elephant.		F talking to C., repeating video.
24	1	85	tiger.		F talking to C, repeating video.
24	1	86	cat.		F talking to C, repeating video.
24	1	87	cat.		F talking to C, repeating video.
24	1	88	dog, Zoe.		F talking to C, repeating video.
24	1	89	dog.		F talking to C, repeating video.
24	1	90	see the dog?		F talking to C.
24	1	91	baby, Zoe.		F talking to C.
24	1	92	baby.		F talking to C, C points at TV.
24	1	93	see the baby?		F talking to C, C points at TV again.
24	1	95	---		M talking to F.
24	1	96	---		F talking to M.
24	1	97	you come with me?		F talking to C, gets up, C runs ahead.
24	1	98	---		M talking to F.
24	1	99	---		F talking to M.
24	1	167	---		F talking to M
24	1	168	---		M talking to F
24	1	169	---		F talking to M.
24	1	170	you hungry?		F talking to C.
24	1	179	---		F talking to M
24	1	180	---		M talking to F.
24	1	181	---		F talking to M.
24	1	182	---		M talking to F.
24	1	183	---		F talking to M
24	1	184	---		M talking to F.
24	1	185	---		F talking to M.
24	1	186	---		M talking to F.
24	1	187	alright, come on!		F talking to C, picks her up and carries her back to room with video.
24	1	189	she a hippo?		F talking to C, repeating video.
24	1	191	is the seal sleeping?		F talking to C, repeating video.
24	1	192	the antelope is eating, Zoe.		F talking to C about video.
24	1	193	bears.		F talking to C about video.
24	1	194	see the elephant?		F talking to C about video.
24	1	195	elephant?		F talking to C about video.
24	1	196	wow.		F talking to C about video.
24	1	197	see that?		F talking to C about video.
24	1	198	reach, Zoe.		F talking to C about video.
24	1	201	come here.		F talking to C.
24	1	202	come here.		F talking to C, reaches out for C.
24	1	204	got socks?		F talking to C behind bed.
24	1	205	see the babies clapping?		F talking to C about video.
24	1	206	you missed them clapping.		F talking to C about video.
24	1	207	whoops!		F talking to C, C runs into cabinet and looses balance.
24	1	208	bye bye.		F talking to C, C walks out of room.
24	1	211	where you going?		F talking to C.
24	1	212	let's go up here.		F talking to C; C runs back into bedroom.
24	1	213	want your drink?		F talking to C, offers cup.
24	1	216	see?		F talking to C.
24	1	217	oop, oop, oop, oop, oop, oop.		F talking to C, grabbing her as she almost hits TV stand.
24	1	218	you going to stand or sit down?		F talking to C, helps her sit down.
24	1	219	where are your toes, Zoe?		F talking to C, repeating video?
24	1	220	where are your toes?		F talking to C about video.
24	1	221	see the baby moving her toes?		F talking to C about video.
24	1	222	toes?		F talking to C about video; C gets up and walks over to closet.
24	1	223	babies.		F talking to C about video.
24	1	224	you're missing the babies.		F talking to C about video.
24	1	225	come here.		F talking to C as he picks her up and sits her in lap.
24	1	226	let me see this.		F talking to C, takes something out of her hand.
24	1	229	oh.		F talking to C as she jumps into F's lap.
24	1	230	yeah. yeah. yeah.		F talking to C.
24	1	231	see our visitor.		F talking to C, C looking at E.
24	1	232	she's going to be with us for awhile.		F talking to C, C looking at E.
24	1	234	you know that, don't you?		F talking to C about video.
24	1	236	wow.		F talking to C, C jumps into F's lap.
24	1	237	the tiger is stetching.		F talking to C about video.
24	1	238	the tiger.		F talking to C about video.
24	1	239	it's a gorilla, Zoe.		F talking to C about video.
24	1	240	oh!		F talking to C, C jumps into F's lap.
24	1	242	you're waving.		F talking to C about video.
24	1	243	oh.		F talking to C.
24	1	244	they're waving, Zoe.		F talking to C about video.
24	1	245	look.		F talking to C, sitting her down.
24	1	247	you going to reach for your bottle.		F talking to C.
24	1	248	there you go.		F talking to C.
24	1	249	yay!		F talking to C, F claps.
24	1	252	eyes.		F talking to C, points at own eyes.
24	1	253	eyes.		F talking to C, F points at C's eyes.
24	1	254	what you got?		F talking to C as C wanders behind bed again.
24	1	262	cat?		F talking to C.
24	1	264	see the cat, Zoe?		F talking to C about video.
24	1	265	see the car?		F talking to C about video.
24	1	266	the tiger now?		F talking to C about video.
24	1	267	gorilla!		F talking to C about video.
24	1	268	look at the gorilla.		F talking to C about video.
24	1	269	dog, Zoe.		F talking to C about video.
24	1	270	dog.		F talking to C about video.
24	1	272	hey?		F talking to C.
24	1	273	you got something?		F talking to C.
24	1	277	thank+you.		F talking to C.
24	1	278	thank+you.		F talking to C.
24	1	279	no, you can't have that.		F talking to C.
24	1	281	where's your nose?		F talking to C.
24	1	283	hmm?		F talking to C.
24	1	284	where's your nose?		F talking to C.
24	1	285	hmm?		F talking to C.
24	1	287	your nose.		F talking to C.
24	1	288	nose!		F talking to C, C grabs own ear.
24	1	289	that's your ear.		F talking to C.
24	1	290	whoa whoa whoa.		F talking to C, trying to stop her from hiding behind bed again.
24	1	291	Zoe.		F talking to C.
24	1	292	you bring that to me?		F talking to C, C holding toy.
24	1	293	thank+you.		F talking to C, C brings toy to F.
24	1	295	thank+you.		F talking to C.
24	1	296	thank+you, thank+you.		F talking to C.
24	1	304	---		M talking to F.
24	1	306	---		M talking on phone, F places C in high chair.
24	1	316	---		M talking to F.
24	1	317	---		F talking to M.
24	1	318	---		M talking to F.
24	1	324	---		F talking to M.
24	1	325	---		M talking to F.
24	1	330	---		F talking to M.
24	1	347	---		F talking to M.
24	1	348	---		M talking to F.
24	1	349	---		F talking to M.
24	1	364	---		F talking to M.
24	1	365	---		M talking to F.
24	1	370	---		M talking to F.
24	1	371	---		F talking to M.
24	1	372	---		M talking to F.
24	1	373	---		F talking to M.
24	1	396	---		F talking to M.
24	1	397	---		M talking to F.
24	1	403	---		M talking to F.
24	1	404	---		F talking to M.
24	1	405	---		M talking to F.
24	1	419	---		F talking to M.
24	1	420	---		M talking to F.
24	1	421	---		F talking to M.
24	1	422	---		M talking to F.
24	1	423	---		F talking to M.
24	1	424	---		M talking to F.
24	1	456	---		F talking to M, C bats spoon away.
24	1	477	---		F talking to M.
24	1	478	---		M talking to F.
24	1	492	are you interested in this?		F talking to C, referring to his own dinner.
24	1	518	that's our invisible friend.		F talking to C about E.
24	1	649	---		M talking to F, C gets toy and gives it to F.
24	1	667	---		M talking to F.
24	1	669	---		F talking to M, C picks up the T letter.
24	1	767	---		F talking to M.
24	1	804	I don't care about that.		F talking for C.
24	1	838	---		M talking to F.
24	1	839	---		F talking to M.
24	1	865	---		M talking to F.
24	1	866	---		F talking to M.
24	1	867	---		M talking to F.
24	1	868	---		F talking to M.
24	1	869	---		M talking to F.
24	1	881	---		F talking to M.
24	1	886	---		M talking to F.
24	1	887	---		F talking to M.
24	1	888	---		M talking to F.
24	1	889	---		F talking to M.
24	1	890	---		M talking to F.
24	1	891	---		F talking to M.
24	1	892	---		M talking to F.
24	1	893	---		F talking to M.
24	1	894	---		M talking to F.
24	1	895	---		F talking to M.
24	1	896	---		M talking to F.
24	1	910	---		M talking to herself, F.
24	1	911	---		F talking to M.
24	1	912	---		M talking to F.
24	1	913	---		F talking to M.
24	1	924	---		M talking to F.
24	1	925	---		F talking to M.
24	1	926	---		M talking to F.
24	1	935	---		M talking to F.
24	1	936	---		F talking to M.
24	1	937	---		M talking to F.
24	1	951	---		M talking to F.
24	1	952	---		F talking to M.
24	1	956	---		F talking to M.
24	1	957	---		M talking to F.
24	1	958	---		M talking to F.
24	1	975	--		F talking to M.
24	1	983	---		M talking to F.
24	1	994	---		F talking to M.
24	1	995	---		M talking to F.
24	1	996	---		F talking to M.
24	1	1028	---		F talking to M.
24	1	1029	---		M talking to F.
24	1	1030	---		M talking to F.
24	1	1073	---		M talking to F.
24	1	1075	---		M talking to F.
24	1	1076	---		F talking to M.
24	1	1077	---		M talking to F.
24	1	1078	---		F talking to M.
24	1	1079	---		M talking to F.
24	1	1080	---		F talking to M, F helps C put toy in hole.
24	1	1100	---		M talking to F.
24	1	1119	---		M talking to F.
24	1	1120	---		F talking to M.
24	1	1125	---		F talking to M.
24	1	1126	---		F talking to M.
24	1	1127	---		M talking to F.
24	1	1128	---		F talking to M.
24	1	1130	---		M talking to F.
24	1	1131	---		F talking to M.
24	1	1132	---		M talking to F.
24	1	1231	---		F talking to M.
24	1	1233	---		M talking to F.
24	1	1234	---		F talking to M.
24	1	1235	---		M talking to F.
24	1	1309	---		F talking to M.
24	1	1311	---		M talking to F.
24	1	1312	---		F talking to M.
24	1	1351	hello.		F talking into phone.
24	1	1423	---		M talking to F.
24	1	1424	---		F talking to M.
24	1	1440	---		M talking to F, M puts C on her push car.
24	1	1442	---		M talking to F.
24	1	1443	---		F talking to M.
24	1	1455	---		M talking to F.
24	1	1456	---		F talking to M.
24	1	1457	---		M talking to F.
24	1	1458	---		F talking to M.
24	1	1465	---		M talking to F
24	1	1466	---		F talking to M
24	1	1467	---		M talking to F
24	1	1479	---		F talking to M.
24	1	1480	---		M talking to F.
24	1	1481	---		F talking to M.
24	1	1482	---		M talking to F.
24	1	1483	---		F talking to M.
24	1	1484	---		M talking to F.
24	1	1486	---		F talking to M.
24	1	1500	---		F talking to M.
24	1	1556	---		F talking to M.
24	1	1557	---		M talking to F.
24	1	1558	---		F talking to M.
24	1	1564	---		F talking to M.
24	1	1610	---		F talking to M.
24	1	1611	---		M talking to F.
24	2	1	---		F talking to M.
24	2	2	---		M talking to F.
24	2	148	---		F talking to M.
24	2	172	---		F talking to M.
24	2	175	---		F talking to M.
24	2	194	it's like I'm hypotized!		F speaking for C as she stares at camera.
24	2	204	---		F talking to M.
24	2	205	---		M talking to F.
24	2	206		Fishie.	F continues talking to M.
24	2	229	---		F talking to M.
24	2	230	---		M talking to F.
24	2	233	---		M and F talking to each other.
24	2	234	---		M talking to F.
24	2	235	---		F talking to M.
24	2	252	---		M talking to F.
24	2	253	---		F talking to M.
24	2	344	---		M talking to F.
24	2	370	---		M talking to F.
24	2	371	---		F talking to M.
24	2	374	---		M and F talking to each other about missing pieces.
24	2	394	---		M and F talking to each other.
24	2	421	---		F talking to E.
24	2	422	see, she's a little person just like the rest of us.		F talking about E.
24	2	431	---		M and F talking to each other.
24	2	441	---		M and F talking to each other.
24	2	507	---		M and F talking to each other.
24	2	516	---		F talking to M.
24	2	525	---		M and F talking to each other.
24	2	579	---		F talking to E.
24	2	600	---		M and F talking to each other.
24	2	619	---		M and F talking to each other.
24	2	621	---		M and F talking to each other.
24	2	629	---		M and F talking to each other.
24	2	631	---		M and F talking to each other.
24	2	643	---		M and F talking to each other.
24	2	653	---		M and F talking to each other.
24	2	656	---		M and F talking to each other.
24	2	665	---		M and F talking to each other.
24	2	680	---		M and F talking to each other.
24	2	692	---		M and F talking to each other.
24	2	694	---		M and F talking to each other.
24	2	700	---		M and F talking to each other.
24	2	712	---		M and F talking to each other.
24	2	735	---		M and F talking to each other.
24	2	736	---		M talking to F while gesturing to C.
24	2	777	---		M and F talking to each other.
24	2	791	---		F and M talking to each other.
24	2	925	---		M and F talking to each other.
24	2	949	---		M and  F talking to each other.
24	2	951	---		M and F talking to each other.
24	2	953	---		M talking to F.
24	2	975	---		F talking to M.
24	2	979	---		F talking to E.
24	2	1033	---		M and F talking to each other.
24	3	4	---		M and F talking to each other
24	3	9	---		M and F talking to each other
24	3	232	---		M and F talking to each other.
24	3	296	---		M and F talking to each other
24	3	298	---		M and F talking to each other
24	3	301	---		M and F talking to each other
24	3	302	---		M and F continue to talk to each other
24	3	305	---		M and F talking to each other
24	3	307	---		M and F talking to each other
24	3	308			M and F continue talking to each other
24	3	330	---		M and F talking to each other
24	3	368	---		M and F talking to each other
24	3	370	---		M and F talking to each other
24	3	372			M and F talking to eat other
24	3	392	---		M and F talking to each other
24	3	394	---		M and F talking to each other
24	3	396	---		M and F talking to each other
24	3	398	---		M and F talking to each other
24	3	399	---		M, F, and C eating dinner, M and F talking to each other
24	3	404	---		M and F talking to each other
24	3	413	---		M and F talking to each other
24	3	416	---		M and F talking to each other
24	3	421	---		M and F talking to each other
24	3	424	---		M and F talking to each other
24	3	429	---		M and F talking to each other
24	3	431	---		M and F talking to each other
24	3	432	---		M and F continue talking to each other
24	3	436	---		M and F continue talking to each other
24	3	446	---		M and F talking to each other
24	3	453	---		F talking to M
24	3	463	---		M and F talking to each other
24	3	478	---		F talking to M
24	3	493	---		M and F talking to each other
24	3	499	---		M and F talking to each other
24	3	503	---		M and F continue talking to each other
24	3	507	---		M and F talking to each other
24	3	511	---		M and F continue talking to each other
24	3	520	---		M and F talking to each other
24	3	553	---		M and F talking to each other
24	3	558	---		M and F talking toe ach other
24	3	562	---		F talking to M
24	3	630	---		M and F talking to each other
24	3	631			M and F talking, C playing with blocks
24	3	639	---		M and F talking to each other.
24	3	643	---		F talking to M.
24	3	654	---		M and F talking to each other
24	3	655	---		M and F continue talking to each other, C plaing with blocks on the floor
24	3	666	---		M and F talking to each other
24	3	668	---		M and F talking to each other
24	3	670	---		M and F talking to each other
24	3	754	---		M and F talking to each other
24	3	800	---		M and F talking to each other
24	3	822	---		F talking on phone
24	3	827	---		F talking to M
24	4	4	---		M and F talking to each other
24	4	18	---		M and F talking to each other.
24	4	23	---		M and F talking to each other
24	4	29	---		M and F talking to each other.
24	4	32	---		M and F talking to each other
24	4	37	---		F talking to M
24	4	50	---		F talking to M
24	4	61	---		M and F talking to each other
24	4	93	---		M and F talking to each other
24	4	96	---		M and F continue to talk to each other
24	4	98	---		M and F continue to talk to each other
24	4	116	---		M and F talking to each other
24	4	123	---		M and F talking to each other
24	4	137	---		M and F talking to each other.
24	4	140	---		M and F talking to each other
24	4	143	---		M and F talking to each other
24	4	149	---		M and F talking to each other
24	4	156	---		M and F talking to each other.
24	4	199	---		M and F talking to each other
24	4	303	---		M and F talking to each other
24	4	306	---		M and F continue to talk to each other
24	4	319	---		M and F talking to each other
24	4	323	---		M and F continue to talk to each other
24	4	333	---		M and F talking to each other
24	4	334	---	---	M and F continue to talk to each other - C singing along with toy piano
24	4	359	---		M and F talking to each other
24	4	372	---		M and F talking to each other
24	4	391	---		M and F talking to each other
24	4	521	---		M and F talking to each other.
24	4	598	---		M and F talking to each other
24	4	601	---		F talking to M
24	4	609	---		M and F talking to each other
24	4	615	---		M talking to F
24	4	619	---		F talking to M
24	4	623	---		M and F talking to each other
24	4	627	---		M and F talking to each other
24	4	636	---		M and F talking to each other
24	4	641	---		F talking to M
24	4	707	---		M and F talking to each other
24	4	751	---		M and F talking to each other'
24	4	783	---		M and F talking to each other
24	4	788	---		M and F talking to each other
24	4	800	---		M and F talking to each other
24	4	803	---		M and F talking to each other
24	4	805	---		M and F talking to each other
24	4	809	---		M and F talking to each other
24	4	823	---		M and F talking to each other.
24	4	849	---		M and F talking to each other,
24	4	857	---		M and F talking to each other
24	4	859	---		M and F talking to each other
24	4	900	---		M and F talking to each other
24	4	902	---		M and F talking to each other
24	4	910	---		M and F talking to each other
24	4	953	---		M talking to F
24	4	1003	---		M and F talking to each other
24	4	1006	---		M and F talking to each other
24	4	1012	---		M and F talking to each other
24	4	1021	---		M and F talking to each other
24	4	1025	---		M and F talking to each other
24	4	1031	---		M and F talking to each other
24	4	1036	---		M and F talking to each other
24	4	1063	---		F talking to M
24	4	1069	---		M and F talking to each other
24	4	1087	---		M and F talking to each other.
24	4	1097	---		M and F talking to each other.
24	4	1143	---		F talking to M
24	4	1149	---		F talking to M
24	4	1171	---		M and F talking to each other
24	4	1192	---		M and F talking to each other
24	4	1205	---		M and F talking to E
24	4	1248	---		M and F talking to each other
24	4	1277	---		M and F talking to each other
24	7	593			M and F talking.
24	7	743			M talking to neighbor.  M and F talking.
24	7	881			M and F talking.
24	7	1034			M and F talking.
24	7	1209			M and F talking to each other.
24	7	2043			F talking on phone.
25	3	6	---		F speaks to M
25	3	22	---		F speaks to M; M responds
25	3	39	---		F speaks to M
25	3	60	---		M speaks to F; F replies.
25	3	191	---		F speaks to E
25	3	349	---		F speaks to M; M responds
25	3	353	---		F speaks to E
25	3	355	---		M speaks to F; F responds.
25	3	385	---		F speaks to M; M responds
25	3	470	yucky?		F actually said \"ahky\"
25	3	506	---	go	M and F talking to one another
25	3	521	---		M and F speaking to one another
25	3	548	---	car	M speaking to F
25	3	602	---		M and F talking to each other
25	3	631	oh no		M talking to SIB while F plays/talks with C
25	3	647	---		F and M speaking to one another.
25	3	804	---		F speaks to E
25	3	898	---		F speaks to E
25	3	990	---		M and F speak to one another
